"REP_PERIOD","FUND_TYP","COD_BUDGET","COD_CRED_KK","COD_CRED_KK_NAME","ZAT_AMT","PLANS_AMT","FAKT_AMT","FAKTBN_AMT","CITY"
"2021-01-31","T",2.3576e+10,4113,"Надання інших внутрішніх кредитів",17863947,17863947,0,NA,"Cherkasy"
"2021-01-31","C",2.3576e+10,4113,"Надання інших внутрішніх кредитів",16772437,16772437,0,NA,"Cherkasy"
"2021-01-31","S",2.3576e+10,4122,"Повернення кредитів підприємствами, установами, організаціями",-91229544.49,0,0,0,"Cherkasy"
"2021-01-31","S",2.3576e+10,4113,"Надання інших внутрішніх кредитів",1091510,1091510,0,0,"Cherkasy"
"2021-01-31","T",2.3576e+10,4122,"Повернення кредитів підприємствами, установами, організаціями",-91229544.49,0,0,NA,"Cherkasy"
"2021-01-31","T",2.3576e+10,4123,"Повернення інших внутрішніх кредитів",-2251148,0,-108938.62,NA,"Cherkasy"
"2021-01-31","S",2.3576e+10,4123,"Повернення інших внутрішніх кредитів",-2251148,0,-108938.62,0,"Cherkasy"
"2021-01-31","S",2.3576e+10,4112,"Надання кредитів підприємствам, установам, організаціям",65594400,65594400,0,0,"Cherkasy"
"2021-01-31","T",2.3576e+10,4112,"Надання кредитів підприємствам, установам, організаціям",65594400,65594400,0,NA,"Cherkasy"
"2021-01-31","S",2.5559e+10,4113,"Надання інших внутрішніх кредитів",332300,332300,0,0,"Chernihiv"
"2021-01-31","T",2.5559e+10,4113,"Надання інших внутрішніх кредитів",3634300,3634300,0,NA,"Chernihiv"
"2021-01-31","S",2.5559e+10,4123,"Повернення інших внутрішніх кредитів",-331600,0,-3318.6,0,"Chernihiv"
"2021-01-31","C",2.5559e+10,4113,"Надання інших внутрішніх кредитів",3302000,3302000,0,NA,"Chernihiv"
"2021-01-31","T",2.5559e+10,4123,"Повернення інших внутрішніх кредитів",-331600,0,-3318.6,NA,"Chernihiv"
"2021-01-31","T",2.4552e+10,4112,"Надання кредитів підприємствам, установам, організаціям",14067500,14067500,0,NA,"Chernivtsi"
"2021-01-31","S",2.4552e+10,4113,"Надання інших внутрішніх кредитів",755300,755300,0,0,"Chernivtsi"
"2021-01-31","T",2.4552e+10,4113,"Надання інших внутрішніх кредитів",755300,755300,0,NA,"Chernivtsi"
"2021-01-31","S",2.4552e+10,4112,"Надання кредитів підприємствам, установам, організаціям",14067500,14067500,0,0,"Chernivtsi"
"2021-01-31","S",2.4552e+10,4123,"Повернення інших внутрішніх кредитів",-773600,0,0,0,"Chernivtsi"
"2021-01-31","T",2.4552e+10,4123,"Повернення інших внутрішніх кредитів",-773600,0,0,NA,"Chernivtsi"
"2021-01-31","S",4.576e+09,4123,"Повернення інших внутрішніх кредитів",0,0,-5605.58,0,"Dnipro"
"2021-01-31","S",4.576e+09,4220,"Повернення зовнішніх кредитів",-142313000,0,0,0,"Dnipro"
"2021-01-31","S",4.576e+09,4210,"Надання зовнішніх кредитів",142313000,142313000,0,0,"Dnipro"
"2021-01-31","T",4.576e+09,4210,"Надання зовнішніх кредитів",142313000,142313000,0,NA,"Dnipro"
"2021-01-31","T",4.576e+09,4123,"Повернення інших внутрішніх кредитів",0,0,-5605.58,NA,"Dnipro"
"2021-01-31","T",4.576e+09,4220,"Повернення зовнішніх кредитів",-142313000,0,0,NA,"Dnipro"
"2021-01-31","T",9.533e+09,4113,"Надання інших внутрішніх кредитів",12096000,12096000,0,NA,"Ivano-Frankivsk"
"2021-01-31","C",9.533e+09,4113,"Надання інших внутрішніх кредитів",110000,110000,0,NA,"Ivano-Frankivsk"
"2021-01-31","T",9.533e+09,4123,"Повернення інших внутрішніх кредитів",-9485000,0,0,NA,"Ivano-Frankivsk"
"2021-01-31","S",9.533e+09,4123,"Повернення інших внутрішніх кредитів",-9485000,0,0,0,"Ivano-Frankivsk"
"2021-01-31","S",9.533e+09,4113,"Надання інших внутрішніх кредитів",11986000,11986000,0,0,"Ivano-Frankivsk"
"2021-01-31","T",2.0554e+10,4113,"Надання інших внутрішніх кредитів",8.5e+07,8.5e+07,897531,NA,"Kharkiv"
"2021-01-31","T",2.0554e+10,4112,"Надання кредитів підприємствам, установам, організаціям",89187100,0,0,NA,"Kharkiv"
"2021-01-31","S",2.0554e+10,4123,"Повернення інших внутрішніх кредитів",0,0,-504113.15,0,"Kharkiv"
"2021-01-31","S",2.0554e+10,4113,"Надання інших внутрішніх кредитів",8.5e+07,8.5e+07,897531,0,"Kharkiv"
"2021-01-31","S",2.0554e+10,4112,"Надання кредитів підприємствам, установам, організаціям",89187100,0,0,0,"Kharkiv"
"2021-01-31","T",2.0554e+10,4123,"Повернення інших внутрішніх кредитів",0,0,-504113.15,NA,"Kharkiv"
"2021-01-31","S",2.2564e+10,4123,"Повернення інших внутрішніх кредитів",-1e+05,0,-35069.17,0,"Khmelnytskyi"
"2021-01-31","T",2.2564e+10,4123,"Повернення інших внутрішніх кредитів",-1e+05,0,-35069.17,NA,"Khmelnytskyi"
"2021-01-31","T",2.2564e+10,4113,"Надання інших внутрішніх кредитів",3e+05,3e+05,0,NA,"Khmelnytskyi"
"2021-01-31","S",2.2564e+10,4113,"Надання інших внутрішніх кредитів",1e+05,1e+05,0,0,"Khmelnytskyi"
"2021-01-31","C",2.2564e+10,4113,"Надання інших внутрішніх кредитів",2e+05,2e+05,0,NA,"Khmelnytskyi"
"2021-01-31","S",1.6564e+10,4123,"Повернення інших внутрішніх кредитів",-890000,0,-491052.28,0,"Kremenchuk"
"2021-01-31","T",1.6564e+10,4123,"Повернення інших внутрішніх кредитів",-890000,0,-491052.28,NA,"Kremenchuk"
"2021-01-31","S",1.6564e+10,4113,"Надання інших внутрішніх кредитів",4622640,4622640,0,0,"Kremenchuk"
"2021-01-31","T",1.6564e+10,4113,"Надання інших внутрішніх кредитів",4622640,4622640,0,NA,"Kremenchuk"
"2021-01-31","T",4.578e+09,4113,"Надання інших внутрішніх кредитів",470000,0,0,NA,"Kryvyi Rih"
"2021-01-31","S",4.578e+09,4113,"Надання інших внутрішніх кредитів",110000,0,0,0,"Kryvyi Rih"
"2021-01-31","T",4.578e+09,4220,"Повернення зовнішніх кредитів",-49212414,0,0,NA,"Kryvyi Rih"
"2021-01-31","S",4.578e+09,4210,"Надання зовнішніх кредитів",49212414,49212414,0,0,"Kryvyi Rih"
"2021-01-31","T",4.578e+09,4123,"Повернення інших внутрішніх кредитів",-110000,0,-10901.1,NA,"Kryvyi Rih"
"2021-01-31","T",4.578e+09,4210,"Надання зовнішніх кредитів",49212414,49212414,0,NA,"Kryvyi Rih"
"2021-01-31","C",4.578e+09,4113,"Надання інших внутрішніх кредитів",360000,0,0,NA,"Kryvyi Rih"
"2021-01-31","S",4.578e+09,4220,"Повернення зовнішніх кредитів",-49212414,0,0,0,"Kryvyi Rih"
"2021-01-31","S",4.578e+09,4123,"Повернення інших внутрішніх кредитів",-110000,0,-10901.1,0,"Kryvyi Rih"
"2021-01-31","T",2.6e+10,4123,"Повернення інших внутрішніх кредитів",-3e+05,0,0,NA,"Kyiv"
"2021-01-31","C",2.6e+10,4122,"Повернення кредитів підприємствами, установами, організаціями",-81336671,0,-13119849.66,NA,"Kyiv"
"2021-01-31","T",2.6e+10,4122,"Повернення кредитів підприємствами, установами, організаціями",-81336671,0,-13119849.66,NA,"Kyiv"
"2021-01-31","T",2.6e+10,4112,"Надання кредитів підприємствам, установам, організаціям",3500000,0,0,NA,"Kyiv"
"2021-01-31","C",2.6e+10,4112,"Надання кредитів підприємствам, установам, організаціям",3500000,0,0,NA,"Kyiv"
"2021-01-31","S",2.6e+10,4123,"Повернення інших внутрішніх кредитів",-3e+05,0,0,0,"Kyiv"
"2021-01-31","T",3.551e+09,4123,"Повернення інших внутрішніх кредитів",-46913693,0,-6229.22,NA,"Lutsk"
"2021-01-31","S",3.551e+09,4112,"Надання кредитів підприємствам, установам, організаціям",46913693,46913693,0,0,"Lutsk"
"2021-01-31","S",3.551e+09,4123,"Повернення інших внутрішніх кредитів",-46913693,0,-6229.22,0,"Lutsk"
"2021-01-31","T",3.551e+09,4112,"Надання кредитів підприємствам, установам, організаціям",46913693,46913693,0,NA,"Lutsk"
