REP_PERIOD,FUND_TYP,COD_BUDGET,COD_CONS_EK,COD_CONS_EK_NAME,ZAT_AMT,PLANS_AMT,FAKT_AMT,FAKT_V2MB_AMT,FAKTSIK_AMT,FAKTSIK_V2MB_AMT,FAKTSPP_AMT,FAKTSPP_V2MB_AMT,FAKTSID_AMT,FAKTSID_V2MB_AMT,CITY
2021-01-31,S,26000000000,2240,Оплата послуг (крім комунальних),111613362,113187803.53,462268.12,NA,0,NA,186374.51,NA,275893.61,NA,Kyiv
2021-01-31,C,26000000000,2610,"Субсидії та поточні трансферти підприємствам (установам, організаціям)",9829020040,9430990875,314291534.12,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2272,Оплата водопостачання та водовідведення,5301330,5322850.69,14124.39,NA,0,NA,14124.39,NA,0,NA,Kyiv
2021-01-31,S,26000000000,3122,Капітальне будівництво (придбання) інших об'єктів,25433500,25433500,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2230,Продукти харчування,1453610173,1457212152.43,19122319.24,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2220,Медикаменти та перев'язувальні матеріали,15803800,15943640,22380,NA,0,NA,0,NA,22380,NA,Kyiv
2021-01-31,C,26000000000,2720,Стипендії,95541921,95541921,6560338.94,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,3121,Капітальне будівництво (придбання) житла,49000000,49000000,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,S,26000000000,3240,Капітальні трансферти населенню,39591000,39591000,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2420,Обслуговування зовнішніх боргових зобов'язань,303400004,303400004,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,32204300,32153454,12693.98,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2210,"Предмети, матеріали, обладнання та інвентар",902360728,896854736,53965,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2120,Нарахування на оплату праці,3803603017,3786942547,252212417.71,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",2021852622,2015916465.1,94144717.23,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2730,Інші виплати населенню,2987432935,2986716658.23,18299208.53,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,3132,Капітальний ремонт інших об'єктів,1376436573,1370418405.71,541832.71,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,3110,Придбання обладнання і предметів довгострокового користування,408832513,408844959,450,NA,0,NA,0,NA,450,NA,Kyiv
2021-01-31,S,26000000000,3132,Капітальний ремонт інших об'єктів,1376436573,1370418405.71,541832.71,NA,0,NA,0,NA,541832.71,NA,Kyiv
