REP_PERIOD,FUND_TYP,COD_BUDGET,COD_INCO,NAME_INC,ZAT_AMT,PLANS_AMT,FAKT_AMT,CITY
2021-01-31,C,26000000000,22090400,"Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України",2300000,NA,173225,Kyiv
2021-01-31,T,26000000000,22090400,"Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України",2300000,0,173225,Kyiv
2021-01-31,C,26000000000,24030000,"Надходження сум кредиторської та депонентської заборгованості підприємств, організацій та установ, щодо яких минув строк позовної давності",100000,NA,0,Kyiv
2021-01-31,T,26000000000,24030000,"Надходження сум кредиторської та депонентської заборгованості підприємств, організацій та установ, щодо яких минув строк позовної давності",100000,0,0,Kyiv
2021-01-31,C,26000000000,24060300,Інші надходження,10000000,NA,904005.11,Kyiv
2021-01-31,T,26000000000,24060300,Інші надходження,10000000,0,904005.11,Kyiv
2021-01-31,S,26000000000,24061600,Інші надходження до фондів охорони навколишнього природного середовища,3500000,0,0,Kyiv
2021-01-31,T,26000000000,24061600,Інші надходження до фондів охорони навколишнього природного середовища,3500000,0,0,Kyiv
2021-01-31,S,26000000000,24062100,"Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності",250000,0,90871.58,Kyiv
2021-01-31,T,26000000000,24062100,"Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності",250000,0,90871.58,Kyiv
2021-01-31,S,26000000000,24170000,Надходження коштів пайової участі у розвитку інфраструктури населеного пункту,0,0,488865.77,Kyiv
2021-01-31,T,26000000000,24170000,Надходження коштів пайової участі у розвитку інфраструктури населеного пункту,0,0,488865.77,Kyiv
2021-01-31,S,26000000000,25010000,"Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством",2124250900,2087470003.7,91870536.11,Kyiv
2021-01-31,T,26000000000,25010000,"Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством",2124250900,2087470003.7,91870536.11,Kyiv
2021-01-31,S,26000000000,25020000,Інші джерела власних надходжень бюджетних установ,47821500,53497764.57,5532929.12,Kyiv
2021-01-31,T,26000000000,25020000,Інші джерела власних надходжень бюджетних установ,47821500,53497764.57,5532929.12,Kyiv
2021-01-31,C,26000000000,31010200,"Кошти від реалізації безхазяйного майна, знахідок, спадкового майна, майна, одержаного територіальною громадою в порядку спадкування чи дарування, а також валютні цінності і грошові кошти, власники яких невідомі",100000,NA,26381.05,Kyiv
2021-01-31,T,26000000000,31010200,"Кошти від реалізації безхазяйного майна, знахідок, спадкового майна, майна, одержаного територіальною громадою в порядку спадкування чи дарування, а також валютні цінності і грошові кошти, власники яких невідомі",100000,0,26381.05,Kyiv
2021-01-31,C,26000000000,31020000,Надходження коштів від Державного фонду дорогоцінних металів і дорогоцінного каміння,0,NA,26401.91,Kyiv
2021-01-31,T,26000000000,31020000,Надходження коштів від Державного фонду дорогоцінних металів і дорогоцінного каміння,0,0,26401.91,Kyiv
2021-01-31,S,26000000000,31030000,"Кошти від відчуження майна, що належить Автономній Республіці Крим та майна, що перебуває в комунальній власності",100000000,0,18064582.22,Kyiv
2021-01-31,T,26000000000,31030000,"Кошти від відчуження майна, що належить Автономній Республіці Крим та майна, що перебуває в комунальній власності",100000000,0,18064582.22,Kyiv
2021-01-31,S,26000000000,33010100,"Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим",849700000,0,3738350.12,Kyiv
2021-01-31,T,26000000000,33010100,"Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим",849700000,0,3738350.12,Kyiv
2021-01-31,C,26000000000,41021000,Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів місцевих бюджетів внаслідок наданих державою податкових пільг зі сплати земельного податку суб'єктам космічної діяльності та літакобудування,52543000,NA,4378600,Kyiv
2021-01-31,T,26000000000,41021000,Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів місцевих бюджетів внаслідок наданих державою податкових пільг зі сплати земельного податку суб'єктам космічної діяльності та літакобудування,52543000,0,4378600,Kyiv
2021-01-31,C,26000000000,41033000,Субвенція з державного бюджету місцевим бюджетам на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я,223021500,NA,23973600,Kyiv
2021-01-31,T,26000000000,41033000,Субвенція з державного бюджету місцевим бюджетам на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я,223021500,0,23973600,Kyiv
2021-01-31,C,26000000000,41033900,Освітня субвенція з державного бюджету місцевим бюджетам,5407135900,NA,337506100,Kyiv
2021-01-31,T,26000000000,41033900,Освітня субвенція з державного бюджету місцевим бюджетам,5407135900,0,337506100,Kyiv
2021-01-31,C,26000000000,41034400,"Субвенція з державного бюджету місцевим бюджетам на проектні, будівельно-ремонтні роботи, придбання житла та приміщень для розвитку сімейних та інших форм виховання, наближених до сімейних, підтримку малих групових будинків та забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування, осіб з їх числа",15806900,NA,0,Kyiv
2021-01-31,T,26000000000,41034400,"Субвенція з державного бюджету місцевим бюджетам на проектні, будівельно-ремонтні роботи, придбання житла та приміщень для розвитку сімейних та інших форм виховання, наближених до сімейних, підтримку малих групових будинків та забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування, осіб з їх числа",15806900,0,0,Kyiv
2021-01-31,C,26000000000,41035400,Субвенція з державного бюджету місцевим бюджетам на надання державної підтримки особам з особливими освітніми потребами,26840500,NA,1330100,Kyiv
2021-01-31,T,26000000000,41035400,Субвенція з державного бюджету місцевим бюджетам на надання державної підтримки особам з особливими освітніми потребами,26840500,0,1330100,Kyiv
2021-01-31,S,26000000000,41037300,"Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах",1810115100,0,66397800,Kyiv
2021-01-31,T,26000000000,41037300,"Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах",1810115100,0,66397800,Kyiv
2021-01-31,S,26000000000,50110000,"Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади",482000000,0,23011543.83,Kyiv
2021-01-31,T,26000000000,50110000,"Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади",482000000,0,23011543.83,Kyiv
2021-01-31,C,26000000000,18030100,"Туристичний збір, сплачений юридичними особами",27150000,NA,1018827.47,Kyiv
2021-01-31,T,26000000000,18030100,"Туристичний збір, сплачений юридичними особами",27150000,0,1018827.47,Kyiv
2021-01-31,C,26000000000,18030200,"Туристичний збір, сплачений фізичними особами",4405000,NA,374135.33,Kyiv
2021-01-31,T,26000000000,18030200,"Туристичний збір, сплачений фізичними особами",4405000,0,374135.33,Kyiv
2021-01-31,C,26000000000,18050300,Єдиний податок з юридичний осіб,1350000000,NA,114827412.37,Kyiv
2021-01-31,T,26000000000,18050300,Єдиний податок з юридичний осіб,1350000000,0,114827412.37,Kyiv
2021-01-31,C,26000000000,18050400,Єдиний податок з фізичних осіб,5977945000,NA,676770063.21,Kyiv
2021-01-31,T,26000000000,18050400,Єдиний податок з фізичних осіб,5977945000,0,676770063.21,Kyiv
2021-01-31,C,26000000000,18050500,"Єдиний податок з сільськогосподарських товаровиробників,  у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків",55000,NA,74715.98,Kyiv
2021-01-31,T,26000000000,18050500,"Єдиний податок з сільськогосподарських товаровиробників,  у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків",55000,0,74715.98,Kyiv
2021-01-31,S,26000000000,19010100,"Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю)",16740700,0,169947.91,Kyiv
2021-01-31,T,26000000000,19010100,"Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю)",16740700,0,169947.91,Kyiv
2021-01-31,S,26000000000,19010200,Надходження від скидів забруднюючих речовин безпосередньо у водні об’єкти,10359600,0,0,Kyiv
2021-01-31,T,26000000000,19010200,Надходження від скидів забруднюючих речовин безпосередньо у водні об’єкти,10359600,0,0,Kyiv
2021-01-31,S,26000000000,19010300,"Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об’єктах, крім розміщення окремих видів відходів як вторинної сировини",8669700,0,887902.47,Kyiv
2021-01-31,T,26000000000,19010300,"Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об’єктах, крім розміщення окремих видів відходів як вторинної сировини",8669700,0,887902.47,Kyiv
2021-01-31,S,26000000000,19050200,Інші збори за забруднення навколишнього природного середовища до Фонду охорони навколишнього природного середовища,0,0,143858.43,Kyiv
2021-01-31,T,26000000000,19050200,Інші збори за забруднення навколишнього природного середовища до Фонду охорони навколишнього природного середовища,0,0,143858.43,Kyiv
2021-01-31,C,26000000000,19090500,"Податки та збори, не віднесені до інших категорій",0,NA,1200,Kyiv
2021-01-31,T,26000000000,19090500,"Податки та збори, не віднесені до інших категорій",0,0,1200,Kyiv
2021-01-31,C,26000000000,21010300,"Частина чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного місцевого бюджету",25000000,NA,10000,Kyiv
2021-01-31,T,26000000000,21010300,"Частина чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного місцевого бюджету",25000000,0,10000,Kyiv
2021-01-31,S,26000000000,21010800,"Дивіденди (дохід), нараховані на акції (частки) господарських товариств, у статутних капіталах яких є майно Автономної Республіки Крим, комунальна власність",10000000,0,150000,Kyiv
2021-01-31,T,26000000000,21010800,"Дивіденди (дохід), нараховані на акції (частки) господарських товариств, у статутних капіталах яких є майно Автономної Республіки Крим, комунальна власність",10000000,0,150000,Kyiv
2021-01-31,C,26000000000,21080500,Інші надходження,0,NA,105302.31,Kyiv
2021-01-31,T,26000000000,21080500,Інші надходження,0,0,105302.31,Kyiv
2021-01-31,C,26000000000,21080900,"Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг",100000,NA,11212.85,Kyiv
2021-01-31,T,26000000000,21080900,"Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг",100000,0,11212.85,Kyiv
2021-01-31,C,26000000000,21081100,Адміністративні штрафи та інші санкції,10500000,NA,3526130.72,Kyiv
2021-01-31,T,26000000000,21081100,Адміністративні штрафи та інші санкції,10500000,0,3526130.72,Kyiv
2021-01-31,C,26000000000,21081500,Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів,6135000,NA,863907.53,Kyiv
2021-01-31,T,26000000000,21081500,Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів,6135000,0,863907.53,Kyiv
2021-01-31,C,26000000000,22010300,"Адміністративний збір за проведення державної реєстрації юридичних осіб,  фізичних осіб – підприємців та громадських формувань",15000000,NA,808439.3,Kyiv
2021-01-31,T,26000000000,22010300,"Адміністративний збір за проведення державної реєстрації юридичних осіб,  фізичних осіб – підприємців та громадських формувань",15000000,0,808439.3,Kyiv
2021-01-31,C,26000000000,22010500,"Плата за ліцензії на виробництво спирту етилового, коньячного і плодового та зернового дистиляту, дистиляту виноградного спиртового, біоетанолу, алкогольних напоїв, тютюнових виробів та рідин, що використовуються в електронних сигаретах",0,NA,1560,Kyiv
2021-01-31,T,26000000000,22010500,"Плата за ліцензії на виробництво спирту етилового, коньячного і плодового та зернового дистиляту, дистиляту виноградного спиртового, біоетанолу, алкогольних напоїв, тютюнових виробів та рідин, що використовуються в електронних сигаретах",0,0,1560,Kyiv
2021-01-31,C,26000000000,22010900,"Плата за державну реєстрацію (крім адміністративного збору за проведення державної реєстрації юридичних осіб, фізичних осіб – підприємців та громадських формувань)",6000000,NA,388072.1,Kyiv
2021-01-31,T,26000000000,22010900,"Плата за державну реєстрацію (крім адміністративного збору за проведення державної реєстрації юридичних осіб, фізичних осіб – підприємців та громадських формувань)",6000000,0,388072.1,Kyiv
2021-01-31,C,26000000000,22011000,"Плата за ліцензії на право оптової торгівлі алкогольними напоями, тютюновими виробами та рідинами, що використовуються в електронних сигаретах",68100000,NA,5619590,Kyiv
2021-01-31,T,26000000000,22011000,"Плата за ліцензії на право оптової торгівлі алкогольними напоями, тютюновими виробами та рідинами, що використовуються в електронних сигаретах",68100000,0,5619590,Kyiv
2021-01-31,C,26000000000,22011100,"Плата за ліцензії на право роздрібної торгівлі алкогольними напоями, тютюновими виробами та рідинами, що використовуються в електронних сигаретах",112500000,NA,8729816,Kyiv
2021-01-31,T,26000000000,22011100,"Плата за ліцензії на право роздрібної торгівлі алкогольними напоями, тютюновими виробами та рідинами, що використовуються в електронних сигаретах",112500000,0,8729816,Kyiv
2021-01-31,C,26000000000,22011800,"Плата за ліцензії та сертифікати, що сплачується ліцензіатами за місцем здійснення діяльності",8150000,NA,302157,Kyiv
2021-01-31,T,26000000000,22011800,"Плата за ліцензії та сертифікати, що сплачується ліцензіатами за місцем здійснення діяльності",8150000,0,302157,Kyiv
2021-01-31,C,26000000000,22012500,Плата за надання інших адміністративних послуг,260770000,NA,14153498.47,Kyiv
2021-01-31,T,26000000000,22012500,Плата за надання інших адміністративних послуг,260770000,0,14153498.47,Kyiv
2021-01-31,C,26000000000,22012600,Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень,4400000,NA,267411,Kyiv
2021-01-31,T,26000000000,22012600,Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень,4400000,0,267411,Kyiv
2021-01-31,C,26000000000,22012900,"Плата за скорочення термінів надання послуг у сфері державної реєстрації речових прав на нерухоме майно та їх обтяжень і державної реєстрації юридичних осіб, фізичних осіб – підприємців та громадських формувань, а також плата за надання інших платних послуг, пов’язаних з такою державною реєстрацією",1600000,NA,63571,Kyiv
2021-01-31,T,26000000000,22012900,"Плата за скорочення термінів надання послуг у сфері державної реєстрації речових прав на нерухоме майно та їх обтяжень і державної реєстрації юридичних осіб, фізичних осіб – підприємців та громадських формувань, а також плата за надання інших платних послуг, пов’язаних з такою державною реєстрацією",1600000,0,63571,Kyiv
2021-01-31,C,26000000000,22013200,Плата за ліцензії на право оптової торгівлі пальним,9500000,NA,274960,Kyiv
2021-01-31,T,26000000000,22013200,Плата за ліцензії на право оптової торгівлі пальним,9500000,0,274960,Kyiv
2021-01-31,C,26000000000,22013300,Плата за ліцензії на право роздрібної торгівлі пальним,1500000,NA,4000,Kyiv
2021-01-31,T,26000000000,22013300,Плата за ліцензії на право роздрібної торгівлі пальним,1500000,0,4000,Kyiv
2021-01-31,C,26000000000,22013400,Плата за ліцензії на право зберігання пального,780000,NA,39000,Kyiv
2021-01-31,T,26000000000,22013400,Плата за ліцензії на право зберігання пального,780000,0,39000,Kyiv
2021-01-31,C,26000000000,22080400,"Надходження від орендної плати за користування цілісним майновим комплексом та іншим майном, що перебуває в комунальній власності",89900000,NA,6918474.98,Kyiv
2021-01-31,T,26000000000,22080400,"Надходження від орендної плати за користування цілісним майновим комплексом та іншим майном, що перебуває в комунальній власності",89900000,0,6918474.98,Kyiv
2021-01-31,C,26000000000,22090100,"Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування",17900000,NA,1307219.19,Kyiv
2021-01-31,T,26000000000,22090100,"Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування",17900000,0,1307219.19,Kyiv
2021-01-31,C,26000000000,22090200,"Державне мито, не віднесене до інших категорій",1000000,NA,2460.54,Kyiv
2021-01-31,T,26000000000,22090200,"Державне мито, не віднесене до інших категорій",1000000,0,2460.54,Kyiv
2021-01-31,C,26000000000,22090300,"Державне мито за дії, пов'язані з одержанням патентів на об'єкти права інтелектуальної власності, підтриманням їх чинності та передаванням прав їхніми власниками",15800000,NA,1912908.86,Kyiv
2021-01-31,T,26000000000,22090300,"Державне мито за дії, пов'язані з одержанням патентів на об'єкти права інтелектуальної власності, підтриманням їх чинності та передаванням прав їхніми власниками",15800000,0,1912908.86,Kyiv
2021-01-31,C,26000000000,11010100,"Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати",23502770000,NA,1564350477.29,Kyiv
2021-01-31,T,26000000000,11010100,"Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати",23502770000,0,1564350477.29,Kyiv
2021-01-31,C,26000000000,11010200,"Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами",1503908000,NA,105214442.96,Kyiv
2021-01-31,T,26000000000,11010200,"Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами",1503908000,0,105214442.96,Kyiv
2021-01-31,C,26000000000,11010400,"Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж  заробітна плата",1634840000,NA,113359006.79,Kyiv
2021-01-31,T,26000000000,11010400,"Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж  заробітна плата",1634840000,0,113359006.79,Kyiv
2021-01-31,C,26000000000,11010500,"Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування",989135000,NA,26192422.78,Kyiv
2021-01-31,T,26000000000,11010500,"Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування",989135000,0,26192422.78,Kyiv
2021-01-31,C,26000000000,11020200,Податок на прибуток підприємств та фінансових установ комунальної власності,115206000,NA,73334.44,Kyiv
2021-01-31,T,26000000000,11020200,Податок на прибуток підприємств та фінансових установ комунальної власності,115206000,0,73334.44,Kyiv
2021-01-31,C,26000000000,11020300,"Податок на прибуток підприємств, створених за участю іноземних інвесторів",877394000,NA,-5361265.3,Kyiv
2021-01-31,T,26000000000,11020300,"Податок на прибуток підприємств, створених за участю іноземних інвесторів",877394000,0,-5361265.3,Kyiv
2021-01-31,C,26000000000,11020500,Податок на прибуток іноземних юридичних осіб,486150000,NA,26637836.66,Kyiv
2021-01-31,T,26000000000,11020500,Податок на прибуток іноземних юридичних осіб,486150000,0,26637836.66,Kyiv
2021-01-31,C,26000000000,11020600,"Податок на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України",728355000,NA,0,Kyiv
2021-01-31,T,26000000000,11020600,"Податок на прибуток банківських організацій, включаючи філіали аналогічних організацій, розташованих на території України",728355000,0,0,Kyiv
2021-01-31,C,26000000000,11020700,"Податок на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України",142804000,NA,58054,Kyiv
2021-01-31,T,26000000000,11020700,"Податок на прибуток страхових організацій, включаючи філіали аналогічних організацій, розташованих на території України",142804000,0,58054,Kyiv
2021-01-31,C,26000000000,11021000,"Податок на прибуток підприємств, який сплачують інші платники",2600713000,NA,5666924.9,Kyiv
2021-01-31,T,26000000000,11021000,"Податок на прибуток підприємств, який сплачують інші платники",2600713000,0,5666924.9,Kyiv
2021-01-31,C,26000000000,11021600,"Податок на прибуток фінансових установ, включаючи філіали аналогічних організацій, розташованих на території України, за винятком страхових організацій",53136000,NA,9099893.31,Kyiv
